,S0=100,S0=110,S0=120
FTCS,"[('const=300', 99, 241, 3.6e-05, 0.001863), ('const=400', 73, 129, 3.2e-05, 0.001267), ('const=400', 195, 93, 6.8e-05, 0.000772), ('const=400', 197, 93, 2e-06, 0.00074), ('const=500', 89, 105, 5.5e-05, 0.000393), ('const=700', 45, 109, 9.7e-05, 0.000216)]","[('const=300', 53, 177, 2.8e-05, 0.000413), ('const=300', 287, 61, 5.9e-05, 0.00034), ('const=700', 23, 189, 6e-05, 0.000294), ('const=700', 31, 101, 3.2e-05, 0.000161)]","[('const=300', 97, 177, 1.3e-05, 0.000603), ('const=500', 51, 157, 7.2e-05, 0.000547), ('const=600', 35, 173, 5e-05, 0.000289), ('const=700', 83, 61, 1e-06, 0.00017), ('const=900', 111, 53, 4.5e-05, 0.000152)]"
CN,"[('const=300', 5, 301, 6.3e-05, 0.003742), ('const=400', 5, 241, 2.1e-05, 0.002106)]","[('const=300', 11, 253, 5.9e-05, 0.004093), ('const=400', 9, 241, 1.3e-05, 0.003161), ('const=700', 13, 161, 7e-06, 0.002973), ('const=800', 25, 49, 8.5e-05, 0.000609)]","[('const=300', 15, 329, 8.7e-05, 0.008562), ('const=400', 7, 269, 9.1e-05, 0.003886), ('const=700', 9, 197, 4e-05, 0.002309), ('const=1000', 5, 261, 4.5e-05, 0.002203)]"
